"query_id","query","query_run","passage_id","passage","generated_answer"
"Q001","Ngành Kỹ thuật Máy tính có thể làm những công việc gì sau khi tốt nghiệp?","1","[1]","Sinh viên tốt nghiệp Chương trình đào tạo Cử nhân chính quy ngành Công nghệ Thông tin Việt – Nhật có khả năng làm việc ở những phạm vi và lĩnh vực khác nhau như:","Dựa trên ngữ cảnh được cung cấp, sinh viên tốt nghiệp ngành Kỹ thuật Máy tính có thể làm việc trong các lĩnh vực sau:

| Công việc                               |
| -------------------------------------- |
| Chuyên viên phân tích, thiết kế, phát triển thuộc các dự án phát triển giải pháp phần mềm máy tính, thiết kế các hệ thống số, hệ thống nhúng, hệ thống IoT và ứng dụng trí tuệ nhân tạo. |"
"Q001","Ngành Kỹ thuật Máy tính có thể làm những công việc gì sau khi tốt nghiệp?","1","[2]","Sinh viên tốt nghiệp ngành Kỹ thuật máy tính có thể làm việc ở các phạm vi và lĩnh vực khác nhau như:
\- Chuyên viên phân tích, thiết kế, phát triển thuộc các dự án phát triển giải pháp phần mềm máy tính, thiết kế các hệ thống số, hệ thống nhúng, hệ thống IoT và ứng dụng trí tuệ nhân tạo.",""
"Q001","Ngành Kỹ thuật Máy tính có thể làm những công việc gì sau khi tốt nghiệp?","1","[3]","Sinh viên tốt nghiệp ngành Trí tuệ nhân tạo có thể làm việc:
\- Chuyên gia lập trình Trí tuệ nhân tạo, tham gia phát triển các phần mềm, ứng dụng, các hệ thống tính toán có sử dụng Trí tuệ nhân tạo.
\- Chuyên gia phân tích, thiết kế, xây dựng giải pháp kỹ thuật, giải pháp công nghệ thông minh có sử dụng Trí tuệ nhân tạo tại các công ty, tập đoàn công nghệ.",""
"Q001","Ngành Kỹ thuật Máy tính có thể làm những công việc gì sau khi tốt nghiệp?","1","[4]","2. Cử nhân/Kỹ sư ngành CNTT tiếng Nhật ra trường chủ yếu làm việc tại các công ty Nhật Bản hoặc các công ty Việt Nam có đối tác chiến lược là công ty Nhật Bản. Các nhân viên thường phát triển theo hướng trở thành kỹ sư cầu nối (Bridge SE) có nhiệm vụ quản lý một nhóm kỹ sư người Việt và phối hợp với các kỹ sư người Nhật.",""
"Q001","Ngành Kỹ thuật Máy tính có thể làm những công việc gì sau khi tốt nghiệp?","1","[5]","3. Với ưu thế về ngôn ngữ tiếng Nhật, các Cử nhân/Kỹ sư ngành CNTT tiếng Nhật ra trường thường có mức lương khởi điểm gấp rưỡi hoặc gấp đôi các kỹ sư CNTT không có ngôn ngữ tiếng Nhật.",""
"Q002","Chương trình Kỹ thuật Máy tính có bao nhiêu tín chỉ tổng cộng, phân bổ giữa các khối kiến thức chính như thế nào?","1","[1]","Khối lượng kiến thức toàn khóa gồm 130 tín chỉ được phân bổ như sau:
**Bảng2. Khối lượng kiến thức toàn khóa**
|                                                                             |                                                      |                                                                                         |                                |","Thông tin này không có trong ngữ cảnh được cung cấp."
"Q002","Chương trình Kỹ thuật Máy tính có bao nhiêu tín chỉ tổng cộng, phân bổ giữa các khối kiến thức chính như thế nào?","1","[2]","**Tổng cộng 44 tín chỉ,**gồm 2 phần sau:
\- **Phần 1: Bắt buộc** đối với tất cả sinh viên của ngành, nhằm cung cấp kiến thức nền tảng về lập trình, cơ sở dữ liệu, mạng máy tính, phần cứng máy tính. **Tổng cộng 25 tín chỉ**, gồm các môn học trong bảng sau:
|                     |                |                                      |        |        |        |
| ------------------- | -------------- | ------------------------------------ | ------ | ------ | ------ |",""
"Q002","Chương trình Kỹ thuật Máy tính có bao nhiêu tín chỉ tổng cộng, phân bổ giữa các khối kiến thức chính như thế nào?","1","[3]","**Tổng cộng 70 tín chỉ**.
#### 3.4.1. Nhóm các môn học cơ sở ngành
**Tổng cộng 44 tín chỉ,**gồm 2 phần sau **:**
\- **Phần 1: B** **ắt buộc** đối với tất cả sinh viên của ngành, nhằm cung cấp kiến thức nền tảng về lập trình, cơ sở dữ liệu, mạng máy tính, phần cứng máy tính. **Tổng cộng 25 tín chỉ** , gồm các môn học trong bảng sau:
|                     |            |                                      |        |        |        |",""
"Q002","Chương trình Kỹ thuật Máy tính có bao nhiêu tín chỉ tổng cộng, phân bổ giữa các khối kiến thức chính như thế nào?","1","[4]","![](/sites/daa/files/uploads/vb2_cntt_khung_ct_2024.png)",""
"Q002","Chương trình Kỹ thuật Máy tính có bao nhiêu tín chỉ tổng cộng, phân bổ giữa các khối kiến thức chính như thế nào?","1","[5]","![](/sites/daa/files/uploads/3.2_cntt_2024.png)",""
